position-name	ip-assigned
157-001-001	10.9.1.64
157-001-002	10.9.1.65
157-001-003	10.9.1.66
157-001-004	10.9.1.67
	
157-002-001	10.9.1.68
157-002-002	10.9.1.69
157-002-003	10.9.1.70
157-002-004	10.9.1.71
	
157-003-001	10.9.1.72
157-003-002	10.9.1.73
157-003-003	10.9.1.74
157-003-004	10.9.1.75
	
158-001-004	10.9.1.76
158-001-003	10.9.1.77
158-001-002	10.9.1.78
158-001-001	10.9.1.79
	
158-002-004	10.9.1.80
158-002-003	10.9.1.81
158-002-002	10.9.1.82
158-002-001	10.9.1.83
	
158-003-004	10.9.1.84
158-003-003	10.9.1.85
158-003-002	10.9.1.86
158-003-001	10.9.1.87
	
159-001-001	10.9.1.88
159-001-002	10.9.1.89
159-001-003	10.9.1.90
159-001-004	10.9.1.91
	
159-002-001	10.9.1.92
159-002-002	10.9.1.93
159-002-003	10.9.1.94
159-002-004	10.9.1.95
	
159-003-001	10.9.1.96
159-003-002	10.9.1.97
159-003-003	10.9.1.98
159-003-004	10.9.1.99
